firstName,lastName,birthDate,team,attributes,jerseyNum,positionDesc,yearsOfExperience
Bogdan,Bogdanovic,8/22/92,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 78, weight: 225}",13,[G],
Clint,Capela,5/19/94,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 82, weight: 256}",15,[C],
John,Collins,9/23/97,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 81, weight: 226}",20,"[F, C]",
Sharife,Cooper,6/11/01,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 73, weight: 176}",2,[G],
Gorgui,Dieng,1/19/90,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 82, weight: 248}",10,[C],
Solomon,Hill,3/19/91,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 78, weight: 226}",18,[F],
Kevin,Huerter,8/28/98,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 79, weight: 198}",3,"[G, F]",
De'Andre,Hunter,12/1/97,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 80, weight: 221}",12,"[F, G]",
Jalen,Johnson,12/18/01,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 80, weight: 219}",1,[F],
Timothe,Luwawu-Cabarrot,5/12/95,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 79, weight: 215}",7,"[G, F]",
Skylar,Mays,9/4/97,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 76, weight: 205}",4,[G],
Cam,Reddish,9/1/99,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 80, weight: 217}",22,"[F, G]",
Delon,Wright,4/27/92,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 77, weight: 185}",0,[G],
Trae,Young,9/19/98,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}","{height: 73, weight: 164}",11,[G],
Jaylen,Brown,10/26/96,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 78, weight: 223}",7,"[G, F]",
Juancho,Hernangomez,10/1/95,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 81, weight: 214}",41,[F],
Al,Horford,6/8/86,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 81, weight: 240}",42,"[C, F]",
Enes,Kanter,5/23/92,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 82, weight: 250}",13,[C],
Romeo,Langford,10/26/99,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 77, weight: 216}",9,"[G, F]",
Aaron,Nesmith,10/15/99,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 77, weight: 215}",26,"[G, F]",
Payton,Pritchard,1/28/98,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 73, weight: 195}",11,[G],
Josh,Richardson,9/16/93,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 77, weight: 200}",8,[G],
Dennis,Schroder,9/16/93,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}","{height: 73, weight: 172}",71,[G],
