firstName,lastName,birthDate,team,yearsOfExperience
Nate,McMillan,23592,"{city: Atlanta, state: Georgia, abbreviation: ATL, teamName: Atlanta Hawks}",16
Ime,Udoka,28346,"{city: Boston, state: Massachusetts, abbreviation: BOS, teamName: Boston Celtics}",0
Steve,Nash,27067,"{city: Brooklyn, state: New York, abbreviation: BKN, teamName: Brooklyn Nets}",0
Billy,Donovan,23892,"{city: Charlotte, state: North Carolina, abbreviation: CHA, teamName: Charlotte Hornets}",2
James,Borrego,28441,"{city: Chicago, state: Illnois, abbreviation: CHI, teamName: Chicago Bulls}",2
J.B.,Bickerstaff,28924,"{city: Cleveland, state: Ohio, abbreviation: CLE, teamName: Cleveland Cavaliers}",5
Jason,Kidd,26746,"{city: Dallas, state: Texas, abbreviation: DAL, teamName: Dallas Mavericks}",5
Michael,Malone,25934,"{city: Denver, state: Colorado, abbreviation: DEN, teamName: Denver Nuggets}",6
Dwane,Casey,20927,"{city: Detroit, state: Michigan, abbreviation: DET, teamName: Detroit Pistons}",10
Steve,Kerr,24012,"{city: San Francisco, state: California, abbreviation: GSW, teamName: Golden State Warriors}",5
Stephen,Silas,26665,"{city: Houston, state: Texas, abbreviation: HOU, teamName: Houston Rockets}",0
Rick,Carlisle,21850,"{city: Indiana, state: Indianopolis, abbreviation: IND, teamName: Indiana Pacers}",17
Tyronn,Lue,28248,"{city: Los Angeles, state: California, abbreviation: LAC, teamName: Los Angeles Clippers}",3
Frank,Vogel,26836,"{city: Los Angeles, state: California, abbreviation: LAL, teamName: Los Angeles Lakers}",8
Taylor,Jenkins,30937,"{city: Memphis, state: Tenesse, abbreviation: MEM, teamName: Memphis Grizzlies}",0
Erik,Spoelstra,25873,"{city: Miami, state: Florida, abbreviation: MIA, teamName: Miami Heat}",11
Mike,Budenholzer,25421,"{city: Milwaukee, state: Wisconsin, abbreviation: MIL, teamName: Milwaukee Bucks}",6
Chris,Finch,25513,"{city: Minneapolis, state: Minnesota , abbreviation: MIN, teamName: Minnesota Timberwolves}",0
Willie,Green,29795,"{city: New Orleans, state: Louisianna, abbreviation: NOP, teamName: New Orleans Pelicans}",0
Tom,Thibodeau,21202,"{city: New York, state: New York, abbreviation: NYK, teamName: New York Knicks}",8
Mark,Daigneault,31271,"{city: Oklahoma City, state: Oklahoma, abbreviation: OKC, teamName: Oklahoma City Thunder}",0
Jamahl,Mosley,28769,"{city: Orlando, state: Florida, abbreviation: ORL, teamName: Orlando Magic}",0
Doc,Rivers,22567,"{city: Philadelphia, state: Pennsylvania, abbreviation: PHI, teamName: Philadelphia 76ers}",7
Monty,Williams,26214,"{city: Phoenix, state: Arizona, abbreviation: PHX, teamName: Phoenix Suns}",5
Chauncey,Billups,28028,"{city: Portland, state: Oregon, abbreviation: POR, teamName: Portland Trail Blazers}",0
Luke,Walton,29308,"{city: Sacramento, state: California, abbreviation: SAC, teamName: Sacramento Kings}",3
Gregg,Popovich,17926,"{city: San Antonio, state: Texas, abbreviation: SAS, teamName: San Antonio Spurs}",23
Nick,Nurse,24677,"{city: Toronto, state: Ontario, abbreviation: TOR, teamName: Toronto Raptors}",1
Quin,Snyder,24410,"{city: Salt Lake City, state: Utah, abbreviation: UTA, teamName: Utah Jazz}",5
Wes,Unseld Jr.,27657,"{city: Washington, state: Washing D.C., abbreviation: WAS, teamName: Washington Wizards}",6
